Barcode,District Name,Name,Party,Candidate Name,Ac_No,Voter Survey Type,Gender,Religion,Qualification,Occupation,Annual Family Income,Age,Did U Vote In The Last Election?,If No Why,If Yes Did The Candidate Your Voted For In The Last Election,The Candidate,Candidates Party,Candidates Caste,IMP: Easier access to drinking water,IMP: Free Electricity,IMP: Free/Subsidized Loans,IMP: Support for Economically-weaker Sections,IMP: Irrigation Programs,IMP: Jobs through rural employment schemes,IMP: Lower rice/wheat prices,IMP: More schools,IMP: More teachers,IMP: School Facilities,IMP: Subsidy for seeds/fertilizers,IMP: Accessibility of MLA/MP,IMP: Better Law and Order/Policing,IMP: Better Public Transport,IMP: Better Roads,IMP: Eradication of Corruption,IMP: More Hospitals/Primary Health Care Centers,IMP: Trustworthiness of MLA,IMP: Security for Women,IMP: Better Electric Supply,IMP: Better Employment Opportunities,IMP: Better Garbage Clearance,IMP: Reservation for Jobs and Education,IMP: Subsidized Food Distribution,IMP: Training for Jobs,PERF: Others,PERF: Easier access to drinking water,PERF: Free Electricity,PERF: Free/Subsidized Loans,PERF: Support for Economically-weaker Sections,PERF: Irrigation Programs,PERF: Jobs through rural employment schemes,PERF: Lower rice/wheat prices,PERF: More schools,PERF: More teachers,PERF: School Facilities,PERF: Subsidy for seeds/fertilizers,PERF: Accessibility of MLA/MP,PERF: Better Law and Order/Policing,PERF: Better Public Transport,PERF: Better Roads,PERF: Eradication of Corruption,PERF: More Hospitals/Primary Health Care Centers,PERF: Trustworthiness of MLA,PERF: Security for Women,PERF: Better Electric Supply,PERF: Better Employment Opportunities,PERF: Better Garbage Clearance,PERF: Reservation for Jobs and Education,PERF: Subsidized Food Distribution,PERF: Training for Jobs,PERF: Others
78001,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,HINDU,PUC,Agriculture,"10,000 to 25,000",45,Voted,,,I,I,NI,M,M,M,M,L,M,M,H,H,H,M,H,H,H,M,M,M,H,,,,,,,,,A,A,A,A,B,,A,G,G,G,B,G,G,G,A,A,A,G,,,,,,,,
78002,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Female,HINDU,Primary,Others,,53,Voted,,,,I,,M,M,M,H,L,M,M,M,M,H,M,H,M,M,M,M,H,M,,,,,,,,,A,A,B,A,B,A,A,G,G,A,B,G,A,A,B,A,A,A,,,,,,,,
78003,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,MUSLIM,Primary,Business,"50,001 to 1,00,000",51,Voted,,,I,I,NI,M,M,M,H,L-M,M,M,H,M,H,M,H,M,H,M,M,H,H,,,,,,,,,A,A,A,A,B,A,A,G,A,G,B,G,A,G,A,B,G,G,,,,,,,,
78005,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Male,HINDU,Degree,Business,"1,00,001 to 2,50,000",59,Voted,,,I,NI,,,,M,,,,,,,,,H,M,M,M,L,H,H,H,M,M,M,M,M,M,M,,,,,,,,,,,,G,A,A,A,B,A,G,G,A,A,A,A,A,A,A
78007,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Female,CHRISTIAN,Above Degree,Govt,"1,00,001 to 2,50,000",48,Voted,,,I,,NI,,,,,,,,,,,,H,M,M,M,L,M,H,M,M,M,H,M-H,M,M,M,,,,,,,,,,,,G,A,A,A,B,A,G,A,A,A,A,A,A,A,A
78008,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,HINDU,Primary,Agriculture,"10,000 to 25,000",62,Voted,,,,I,,M,M,M,H,L,M,M,H,M-H,H,M,H,M,H,M,L,H,H,,,,,,,,,A,A,A,A,B,A,A,G,G,A,B,A,A,A,A,B,A,G,,,,,,,,
78009,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,MUSLIM,Degree,Private,"50,001 to 1,00,000",39,Voted,,,I,I,,H,M,M,H,L,M,M,H,H,H,M,H,M,M,M,M,H,H,,,,,,,,,A,A,A,A,B,A,A,G,A,G,B,G,A,A,A,A,A,G,,,,,,,,
78010,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Male,CHRISTIAN,Degree,Govt,"1,00,001 to 2,50,000",43,Voted,,Y,I,NI,NI,H,M,M,H,M,M,H,H,M,H,M,H,M,M,M,L,H,H,,,,,,,,,A,A,A,A,B,A,G,G,A,G,A,G,A,A,A,B,A,G,,,,,,,,
78011,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,RURAL,Female,HINDU,Primary,Agriculture,,55,Voted,,,I,I,NI,H,M,M,H,L,M,M,H,M,H,L,H,M,M,M,M,H,H,,,,,,,,,A,A,B,A,B,A,A,G,G,G,B,G,A,A,B,B,A,G,,,,,,,,
78012,UTTAR KANNADA,Kumta,JD(S),DINAKAR KESHAV SHETTY,078,URBAN,Male,HINDU,Degree,Business,"1,00,001 to 2,50,000",67,Voted,,,I,NI,NI,M,,,,,,,,,,,H,M,M,M,L-M,M,M-H,M,M,M,M,M,M,H,M,,,,,,,,,,,,A,A,A,A,B,A,G,A,A,B,A,A,A,A,A
